Population,lat,long,sex_norms,ext_aff,inher_land,inher_mov,dir_care_inf,dir_care_child,fem_cont,sex_rat,marr_arr,dec_mak,trans_resid,marr_tr
Kutenai,48.7,-116.3,3,1,1,7,3,4,26,3,2,3,2,5
Gros_Ventre,48.5,-109.8,1,NA,1,1,NA,NA,26,NA,6,NA,2,0
Hidatsa,46.77,-100.75,NA,1,NA,7,2,2,79,2,4,4,3,5
Pawnee,42.07,-100.25,NA,NA,1,3,NA,NA,42,NA,6,NA,3,5
Omaha,41.37,-96.02,3,1,7,7,3,4,34,3,1,2,1,3
Huron,44.3,-78.3,6,NA,NA,NA,NA,NA,46,NA,3,NA,3,5
Creek,34.25,-85.15,1,1,NA,7,2,2,33,2,2,3,3,2
Natchez,31.95,-91.23,6,NA,NA,NA,NA,2,24,NA,2,NA,1,5
Comanche,35.23,-101.7,NA,2,1,1,2,2,16,2,6,2,2,5
Chiricahua,32.3,-109.5,2,NA,1,1,4,4,55,NA,2,NA,2,5
Zuni,35.5,-108.5,NA,3,3,5,4,4,21,2,2,3,3,5
Havasupai,35.3,-112.2,NA,NA,7,1,3,4,33,NA,4,NA,1,2
Papago,32.9,-111.8,NA,2,7,1,3,3,38,2,6,2,1,5
Huichol,21.03,-104.48,NA,NA,6,5,4,4,31,NA,4,NA,2,5
Aztec,19.4,-99.2,3,1,7,7,NA,4,35,2,5,3,1,2
Popoluca,18.15,-94.42,NA,NA,7,7,3,NA,33,NA,1,NA,1,5
Quiche,14.9,-91.5,2,1,7,7,3,4,3,2,3,3,1,2
Miskito,14.05,-83.37,1,NA,NA,NA,4,4,43,NA,4,NA,3,2
Bribri,8.9,-83.5,4,NA,1,5,NA,3,4,2,2,NA,2,1
Cuna_Tule,9.2,-79.6,2,NA,NA,NA,3,3,13,NA,2,NA,3,1
Goajiro,10.57,-71.73,3,3,NA,2,3,4,31,2,6,2,1,0
Haitians,18.57,-72.3,3,NA,5,5,2,3,14,NA,2,NA,2,5
Callinago,14.6,-61.1,5,1,NA,NA,1,2,35,2,5,3,3,1
Warrau,9.75,-63.18,NA,NA,1,NA,4,4,16,NA,6,NA,3,1
Yanomamo,-0.98,-62.93,3,2,1,NA,4,4,20,1,6,1,1,4
Carib_Barama,6.8,-58.15,6,NA,NA,NA,NA,NA,17,NA,2,NA,2,1
Saramacca,3.78,-56.15,NA,3,NA,3,1,2,37,2,4,3,1,0
Mundurucu,-7.4,-57.5,5,NA,1,1,2,3,27,NA,2,NA,2,1
Cubeo_Tucano,0.62,-69.2,NA,2,NA,NA,3,3,34,2,5,3,1,4
Cayapa,1.1,-79,NA,NA,NA,NA,3,3,31,NA,4,NA,2,5
Jivaro,-2.55,-78.93,3,2,1,7,3,4,50,2,6,2,2,1
Amahuaca,-8.42,-74.6,6,NA,1,1,NA,NA,32,NA,NA,NA,1,1
Inca,-13.55,-71.98,2,1,1,7,NA,NA,36,2,NA,3,1,5
Aymara,-15.48,-70.15,4,NA,7,7,2,3,38,NA,2,NA,1,5
Siriono,-13.33,-64.15,6,3,1,1,3,4,21,2,1,3,3,5
Nambicuara,-16.05,-57.68,1,NA,1,1,5,4,25,NA,6,NA,2,5
Trumai,-15.6,-53.9,6,2,1,NA,NA,4,33,2,5,4,1,2
Timbira,-5.5,-45.27,3,NA,1,5,4,4,34,NA,2,NA,3,1
Tupinamba,-22.92,-43.17,6,1,NA,NA,4,4,30,2,4,NA,2,1
Botocudo,-19.83,-43.93,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,5
Shavante,-15.92,-50.13,1,1,1,1,4,4,32,3,6,2,3,1
Aweikoma,-27.1,-48.9,6,NA,1,1,4,4,17,NA,1,NA,2,5
Cayua,-24.59,-54.68,NA,NA,NA,NA,4,4,30,2,NA,NA,1,5
Lengua,-23.4,-58.4,NA,NA,1,NA,NA,4,9,NA,1,NA,2,5
Abipon,-27.45,-59.05,2,1,1,NA,NA,4,25,3,5,2,2,0
Mapuche,-39.2,-71,4,NA,7,7,4,4,21,NA,NA,NA,1,0
Tehuelche,-45.6,-69.1,3,NA,1,NA,3,3,4,3,2,3,1,3
Yahgan,-54.8,-68.32,3,NA,1,1,4,4,65,NA,1,NA,1,1
